Datetime,E
2011-03-08 11:00:00,18.59149119174259
2011-03-08 14:00:00,21.241015654555564
2011-03-09 11:00:00,23.34339356486636
2011-03-09 14:00:00,29.328771986006235
2011-03-10 11:00:00,21.846244126486837
2011-03-10 14:00:00,24.803233140483684
2011-03-11 11:00:00,22.608343357072442
2011-03-11 14:00:00,21.975408072294663
2011-03-12 11:00:00,19.313783524046276
2011-03-12 14:00:00,21.17357650984512
2011-03-13 11:00:00,15.819984985277966
2011-03-13 14:00:00,22.075182489294985
2011-03-14 11:00:00,22.219694011155706
2011-03-14 14:00:00,22.139846923707797
2011-03-15 11:00:00,14.299420518194378
2011-03-15 14:00:00,20.521313177125172
2011-03-16 14:00:00,22.879218586526086
2011-03-18 11:00:00,23.656052769294806
2011-03-18 14:00:00,29.557987539804166
2011-03-19 11:00:00,16.892741172521518
2011-03-19 14:00:00,17.64299839617472
2011-03-20 11:00:00,18.996011066212468
2011-03-20 14:00:00,24.10631919147758
2011-03-21 11:00:00,20.104808458413046
2011-03-21 14:00:00,23.480000429254037
2011-03-22 11:00:00,42.51211156116244
2011-03-22 14:00:00,40.88912001026042
2011-03-23 11:00:00,25.388949320699673
2011-03-23 14:00:00,26.06697045871328
2011-03-24 11:00:00,18.494696461758647
2011-03-24 14:00:00,18.429509659827012
2011-03-25 11:00:00,12.464056388674374
2011-03-25 14:00:00,10.92604089902335
2011-03-26 11:00:00,16.265137493770258
2011-03-26 14:00:00,18.535244230610864
2011-03-27 11:00:00,18.02661024644269
2011-03-27 14:00:00,22.560577241345335
2011-03-28 11:00:00,15.759352731366906
2011-03-28 14:00:00,18.118780793815766
2011-03-30 11:00:00,19.83789531351918
2011-03-30 14:00:00,22.58495582683255
2011-03-31 11:00:00,22.5795360878288
2011-03-31 14:00:00,26.862036660065776
2011-04-01 14:00:00,31.347640880966704
2011-04-02 11:00:00,25.562821563920817
2011-04-02 14:00:00,28.41505224081238
2011-04-03 11:00:00,29.585045475520882
2011-04-03 14:00:00,29.828341937028647
2011-04-04 11:00:00,28.866565239230507
2011-04-04 14:00:00,29.922000522125245
2011-04-06 11:00:00,27.0508658288796
2011-04-07 11:00:00,24.124043849097045
2011-04-07 14:00:00,28.047907022792852
2011-04-08 11:00:00,22.840813768380784
2011-04-08 14:00:00,25.979532416145204
2011-04-09 11:00:00,27.857131818282806
2011-04-09 14:00:00,37.66133657759111
2011-04-10 11:00:00,33.35854672831021
2011-04-10 14:00:00,37.940305370224046
2011-04-11 11:00:00,24.747488602040583
2011-04-11 14:00:00,26.702148043606226
2011-04-13 11:00:00,29.954333739483722
2011-04-13 14:00:00,34.55385126224681
2011-04-14 11:00:00,30.667210233877345
2011-04-14 14:00:00,38.93164449437058
2011-04-15 11:00:00,51.3517498769363
2011-04-15 14:00:00,55.129998932682746
2011-04-16 11:00:00,52.95772815014522
2011-04-16 14:00:00,66.90167560556876
2011-04-17 11:00:00,53.28841821283013
2011-04-17 14:00:00,60.42597204376779
2011-04-18 11:00:00,36.6861394932562
2011-04-18 14:00:00,36.70540477318364
2011-04-20 11:00:00,26.46092226759185
2011-04-22 11:00:00,54.22781741595676
2011-04-22 14:00:00,66.87157662432496
2011-04-23 11:00:00,63.18260419854718
2011-04-23 14:00:00,78.40314279639185
2011-04-24 11:00:00,88.67021279492543
2011-04-24 14:00:00,105.54147601509031
2011-04-25 11:00:00,96.72858978816846
2011-04-26 11:00:00,106.61551158940138
2011-04-26 14:00:00,113.65744010699855
2011-04-28 11:00:00,54.49118869305739
2011-04-28 14:00:00,61.11693603238992
2011-04-29 11:00:00,58.49252762899496
2011-04-29 14:00:00,58.338311011558424
2011-04-30 11:00:00,45.716030502010305
2011-04-30 14:00:00,45.33498422993124
2011-05-01 11:00:00,33.34954113650316
2011-05-01 14:00:00,36.963428807697724
2011-05-02 11:00:00,27.12318814797383
2011-05-02 14:00:00,32.60413149250276
2011-05-03 11:00:00,30.290496402719405
2011-05-06 11:00:00,50.73540616120289
2011-05-06 14:00:00,61.96991425016051
2011-05-07 11:00:00,57.59317166786155
2011-05-07 14:00:00,72.55275941274643
2011-05-08 14:00:00,107.4068556861173
2011-05-09 11:00:00,101.86608038670562
2011-05-09 14:00:00,130.4740052248294
2011-05-10 11:00:00,106.33282284150101
2011-05-12 11:00:00,100.44587379770402
2011-05-12 14:00:00,101.89053117997628
2011-05-13 11:00:00,58.83306420300371
2011-05-13 14:00:00,70.33144620514919
2011-05-14 11:00:00,60.78505867176647
2011-05-14 14:00:00,69.05401422700199
2011-05-15 11:00:00,65.98081468919663
2011-05-15 14:00:00,71.4265045923822
2011-05-16 11:00:00,46.108578313346655
2011-05-16 14:00:00,52.56130929913517
2011-05-17 11:00:00,58.507445125440306
2011-05-17 14:00:00,38.67115654505204
2011-05-18 11:00:00,54.92941587128176
2011-05-18 14:00:00,68.72953456944357
2011-05-19 11:00:00,50.19794116672402
2011-05-19 14:00:00,66.43865317495792
2011-05-20 11:00:00,85.55154101776331
2011-05-20 14:00:00,100.48656261552154
2011-05-21 11:00:00,86.24344156908587
2011-05-21 14:00:00,88.99801029458203
2011-05-24 11:00:00,91.47210050216815
2011-05-24 14:00:00,96.88687039160544
2011-05-25 11:00:00,46.48706088070248
2011-05-25 14:00:00,59.191562905294276
2011-05-26 11:00:00,57.03864458231575
2011-05-26 14:00:00,61.35575748203695
2011-05-27 11:00:00,62.3999212429007
2011-05-27 14:00:00,65.6550166718167
2011-05-30 11:00:00,49.342412890603285
2011-05-30 14:00:00,59.41305677505661
2011-05-31 11:00:00,101.36613015726664
