,Datetime,monoterpene_flux,methanol_flux,acetone_flux,acetaldehyde_flux
91,2010-06-22 05:22:00,40.29013,10.77147,9.11207,4.49393
92,2010-06-22 20:22:00,128.6395,30.7934,13.9254,7.88413
93,2010-06-23 05:22:00,75.65394,14.55239,12.60717,2.68961
94,2010-06-23 08:22:00,52.27686,40.01164,0.69775,-1.38202
95,2010-06-23 11:22:00,54.75445,23.45539,34.66489,10.53707
96,2010-06-23 14:22:00,148.41252,106.77009,30.35322,15.34047
97,2010-06-23 17:22:00,,86.56673,,15.89826
98,2010-06-24 08:22:00,307.12441,49.57138,33.0192,9.35257
99,2010-06-24 11:22:00,,,65.90113,
100,2010-06-24 17:22:00,,116.95951,41.37026,16.89429
101,2010-06-25 05:22:00,80.54641,38.58494,30.89514,7.979
102,2010-06-25 11:22:00,280.56249,28.36589,-1.1829,17.23888
103,2010-06-25 14:22:00,269.60645,,56.81115,11.74288
104,2010-06-25 17:22:00,42.62311,8.21381,12.36432,1.65664
105,2010-06-25 20:22:00,,-39.38551,31.03915,-0.80463
106,2010-06-26 02:22:00,46.23407,-25.83644,-5.0624,-1.32882
107,2010-06-26 05:22:00,65.17127,-12.10709,-0.28313,-3.63565
108,2010-06-26 08:22:00,172.11333,0.74393,12.88315,8.38559
109,2010-06-26 11:22:00,109.42133,75.72178,42.65075,22.98097
110,2010-06-26 14:22:00,165.3827,71.35211,11.90492,15.10309
111,2010-06-26 17:22:00,109.89642,21.47983,24.17228,
112,2010-06-26 20:22:00,54.74118,25.47458,13.89217,-4.2465
113,2010-06-26 23:22:00,52.6767,14.20102,-1.00462,-0.28613
114,2010-06-27 02:22:00,26.59647,18.84876,0.90447,6.30842
115,2010-06-27 05:22:00,,14.6682,-7.71855,-0.42849
116,2010-06-27 08:22:00,67.40218,42.2027,14.0686,4.54327
117,2010-06-27 11:22:00,110.50803,33.49487,11.0345,22.67784
118,2010-06-27 14:22:00,65.05815,75.64851,10.22818,8.57899
119,2010-06-27 17:22:00,91.64462,33.21361,-0.81473,7.1269
120,2010-06-27 20:22:00,48.04866,25.75779,5.93139,2.35781
121,2010-06-27 23:22:00,9.14514,6.87574,1.95702,0.50431
122,2010-06-28 02:22:00,4.331,1.0936,2.29005,0.27881
123,2010-06-28 08:22:00,52.14089,25.63399,-10.40582,-3.57589
124,2010-06-28 11:22:00,101.12189,55.85789,14.94402,4.36891
125,2010-06-28 14:22:00,194.56325,51.55966,2.04027,15.26903
126,2010-06-28 17:22:00,109.26821,36.07357,24.11646,5.48291
127,2010-06-29 14:22:00,149.72212,74.53528,,20.81103
